generation,,A1,A2,,N1,N2,,sp1_p1,sp1_p1sd,sp1_t1,sp1_t1sd,sp1_q1,sp1_q1sd,,sp2_p1,sp2_p1sd,sp2_t1,sp2_t1sd,sp2_q1,sp2_q1sd,,sp1sp1, sp1sp2, sp2sp2, sp2sp1,hybrid,,BDM_0,BDM_1,BDM_2,BDM_3,BDM_4,BDM_5,BDM_6,BDM_7,BDM_8,BDM_9,BDM_10,BDM_11,BDM_12,BDM_13,BDM_14,BDM_15,BDM_16,BDM_17,BDM_18,BDM_19,,hy_0,hy_1,hy_2,hy_3,hy_4,hy_5,hy_6,hy_7,hy_8,hy_9,hy_10,hy_11,hy_12,hy_13,hy_14,hy_15,hy_16,hy_17,hy_18,hy_19,,p1_0,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p1_11,p1_12,p1_13,p1_14,p1_15,p1_16,p1_17,p1_18,p1_19,,t1_0,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t1_8,t1_9,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t1_18,t1_19,,signal1_p1,signal1_p1sd,signal1_t1,signal1_t1sd, signal1_r{p_t}, signal1_r{bdm_p}, signal1_r{bdm_t}, signal1_Mean_p_mother,signal1_ sd_p_mother, signal1_Mean_t_father,signal1_ sd_t_father, signal1_r{p_mother_t_father},,,
2500,,0.0169483,-0.0179314,,7496,7497,,0.390992,0.0337874,2.44432,0.08259,0.151014,0.386549,,0.413672,0.038789,2.43565,0.0763519,0.134587,0.361587,,7493,0,7497,0,10,,0,0.000133333,0.000133333,0,0,0,0,0,0.000133333,0.000133333,0.999867,1,1,0.999867,1,1,1,1,0.999867,1,,0,0.00133333,0.00133333,0,0,0,0,0,0.00133333,0.00133333,0.00133333,0,0,0.00133333,0,0,0,0,0.00133333,0,,0.381167,0.383767,0.388,0.3893,0.394567,0.3965,0.393967,0.391433,0.395567,0.395733,0.418367,0.416467,0.417033,0.4112,0.4095,0.411733,0.410433,0.412,0.417067,0.413,,2.4312,2.4316,2.4422,2.4374,2.4512,2.4602,2.4566,2.4426,2.4484,2.4416,2.4332,2.4322,2.4278,2.4232,2.4324,2.4392,2.4364,2.4412,2.4432,2.4476,,0.40234,0.0381033,2.43997,0.079636,0.00303857,0.29761,-0.0543836,0.402238,0.0375582,2.43912,0.0779206,-0.00480551,,0.142733,0.140094
2750,,-0.0404571,0.0408817,,7497,7499,,0.396805,0.0324174,2.44246,0.0887991,0.135121,0.363597,,0.40097,0.0405425,2.46285,0.10019,0.145753,0.376056,,7499,0,7495,0,6,,0,0,0,0,0.000133333,0.000133333,0,0,0,0.000133333,1,1,1,1,1,0.999867,1,1,1,1,,0,0,0,0,0.00133333,0.00133333,0,0,0,0.00133333,0,0,0,0,0,0.00133333,0,0,0,0,,0.3877,0.389333,0.392033,0.392833,0.396167,0.399633,0.399867,0.398767,0.402733,0.4089,0.398467,0.3972,0.3987,0.399833,0.401333,0.4051,0.403167,0.401567,0.4018,0.4025,,2.4206,2.4402,2.4354,2.4374,2.4426,2.4436,2.447,2.45,2.4398,2.4682,2.483,2.4812,2.4774,2.4694,2.449,2.4558,2.4606,2.4412,2.454,2.4568,,0.398882,0.0367633,2.45266,0.0952256,0.0294622,0.0566996,0.106936,0.39916,0.0366123,2.45048,0.090525,0.0302183,,0.1404,0.136821
3000,,-0.0438322,0.0459894,,7499,7496,,0.392292,0.0352032,2.4369,0.0897902,0.144019,0.380106,,0.4116,0.0396425,2.45925,0.097011,0.150213,0.378459,,7500,0,7496,0,4,,0,0,0,0,0,0.000133333,0,0,0,0,0.999867,1,0.999867,0.999867,1,1,1,0.999867,1,1,,0,0,0,0,0,0.00133333,0,0,0,0,0.00133333,0,0.00133333,0.00133333,0,0,0,0.00133333,0,0,,0.398933,0.396833,0.399767,0.390033,0.3885,0.390433,0.390233,0.389433,0.3907,0.388067,0.406367,0.408567,0.404933,0.407067,0.4103,0.414433,0.411367,0.4177,0.4149,0.420767,,2.4334,2.4346,2.4372,2.4362,2.449,2.444,2.4304,2.4376,2.4348,2.4318,2.4732,2.4658,2.469,2.4582,2.4476,2.4474,2.4578,2.4594,2.4556,2.4588,,0.401967,0.0387391,2.44809,0.094148,0.0432997,0.249601,0.118819,0.401105,0.0387071,2.4464,0.0925529,0.0299315,,0.147133,0.143885
3250,,-0.202688,0.212606,,7500,7496,,0.392577,0.037815,2.41034,0.0595826,0.1492,0.382456,,0.411786,0.0417063,2.5136,0.13542,0.134338,0.36461,,7499,0,7495,0,6,,0,0,0,0,0,0,0,0,0,0,0.999733,1,1,1,0.999733,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0.00266667,0,0,0,0.00266667,0,0,0,0,0,,0.401833,0.399933,0.400667,0.399867,0.3952,0.391633,0.389467,0.384867,0.383067,0.379233,0.421667,0.419033,0.414867,0.4119,0.410033,0.402467,0.404867,0.406233,0.412267,0.414633,,2.4092,2.4104,2.4178,2.4106,2.4122,2.4118,2.4082,2.4102,2.405,2.408,2.5454,2.5418,2.525,2.518,2.5042,2.499,2.487,2.502,2.5068,2.507,,0.402187,0.0409508,2.46198,0.11666,0.125954,0.234645,0.442636,0.401918,0.0410866,2.46266,0.116541,0.140875,,0.141667,0.139597
3500,,-0.277041,0.292705,,7497,7497,,0.401464,0.0369186,2.42793,0.0685569,0.153661,0.39063,,0.424163,0.0436613,2.56595,0.154079,0.137922,0.371806,,7494,0,7497,0,9,,0.000266667,0.000133333,0,0,0,0,0,0,0,0,0.999733,0.999867,1,1,1,1,1,1,1,1,,0.00266667,0.00133333,0,0,0,0,0,0,0,0,0.00266667,0.00133333,0,0,0,0,0,0,0,0,,0.404267,0.400233,0.399333,0.399033,0.3978,0.398367,0.405267,0.406133,0.400667,0.4035,0.427933,0.4212,0.4266,0.423067,0.423967,0.423,0.427067,0.418633,0.4254,0.424733,,2.4458,2.439,2.4302,2.429,2.422,2.4206,2.4294,2.4234,2.4234,2.4164,2.5474,2.574,2.5616,2.5662,2.5388,2.5476,2.5556,2.5866,2.5856,2.5958,,0.41281,0.0419939,2.49692,0.137759,0.131841,0.270273,0.500882,0.412785,0.0418171,2.49739,0.138151,0.155203,,0.145733,0.145428
3750,,-0.373895,0.398695,,7496,7495,,0.397529,0.0341165,2.43292,0.0764665,0.138741,0.370812,,0.423896,0.0457667,2.62103,0.180097,0.137425,0.364804,,7499,0,7495,0,6,,0,0,0,0.000133333,0.000266667,0.000133333,0,0,0,0,1,1,1,1,1,0.999467,1,1,1,0.999867,,0,0,0,0.00133333,0.00266667,0.00133333,0,0,0,0,0,0,0,0,0,0.00533333,0,0,0,0.00133333,,0.396567,0.397367,0.397967,0.399933,0.3957,0.393633,0.3949,0.395133,0.401467,0.402567,0.417267,0.4225,0.426233,0.4279,0.429367,0.4236,0.420467,0.425333,0.423333,0.422767,,2.4138,2.4158,2.422,2.4342,2.4298,2.4254,2.439,2.4442,2.4552,2.4498,2.5918,2.5808,2.6098,2.612,2.6024,2.6248,2.6462,2.638,2.6468,2.6576,,0.4107,0.042456,2.52697,0.167273,0.177939,0.31039,0.562255,0.410332,0.042062,2.52857,0.16828,0.201097,,0.137933,0.135174
4000,,-0.221208,0.234098,,7499,7494,,0.394673,0.0351039,2.44075,0.0850294,0.158154,0.396919,,0.417671,0.043821,2.55284,0.150173,0.135442,0.362052,,7498,0,7497,0,5,,0,0,0,0.000133333,0,0,0,0,0,0,1,1,0.999867,1,1,0.999867,1,0.999867,1,0.9996,,0,0,0,0.00133333,0,0,0,0,0,0,0,0,0.00133333,0,0,0.00133333,0,0.00133333,0,0.004,,0.388133,0.387433,0.3916,0.395167,0.394967,0.3936,0.399133,0.397033,0.397033,0.4026,0.416033,0.4171,0.4122,0.4121,0.413267,0.416967,0.419967,0.423133,0.4194,0.427,,2.4348,2.436,2.4254,2.4358,2.4418,2.4476,2.4566,2.4464,2.4424,2.4406,2.5382,2.5314,2.5524,2.547,2.5748,2.5504,2.5586,2.5492,2.574,2.5524,,0.406193,0.0413539,2.49679,0.134284,0.137993,0.278532,0.417393,0.406212,0.0415757,2.49611,0.131413,0.141024,,0.146733,0.144403
4250,,-0.187209,0.196447,,7500,7499,,0.406367,0.0374317,2.4421,0.0840749,0.153467,0.39486,,0.42642,0.0500814,2.53424,0.145535,0.144419,0.378723,,7499,0,7498,0,3,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.999867,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133333,0,,0.405467,0.411433,0.407533,0.407933,0.4029,0.4061,0.4082,0.407233,0.406833,0.400033,0.429867,0.422667,0.4215,0.4199,0.422967,0.4258,0.429567,0.430433,0.427567,0.434067,,2.4494,2.4492,2.4478,2.443,2.4434,2.4376,2.4354,2.4366,2.4352,2.4434,2.5008,2.5156,2.5304,2.5456,2.5358,2.5264,2.5234,2.5388,2.5548,2.5708,,0.4164,0.0453408,2.48817,0.127458,0.104474,0.221258,0.36145,0.416667,0.0453088,2.48789,0.130889,0.111361,,0.148933,0.149686
4500,,-0.388104,0.418087,,7496,7500,,0.401724,0.0389284,2.4394,0.0873811,0.142343,0.383094,,0.43276,0.0485742,2.63262,0.186271,0.133467,0.368853,,7494,0,7498,0,8,,0,0.000133333,0.000133333,0,0,0,0,0.000133333,0.000133333,0,1,1,1,1,1,1,1,1,1,1,,0,0.00133333,0.00133333,0,0,0,0,0.00133333,0.00133333,0,0,0,0,0,0,0,0,0,0,0,,0.4039,0.398267,0.3964,0.394367,0.398,0.397533,0.403733,0.407167,0.410433,0.407533,0.4275,0.423733,0.429,0.431333,0.434,0.432967,0.435333,0.435933,0.439367,0.438433,,2.4542,2.469,2.4432,2.4428,2.438,2.4282,2.4294,2.4314,2.4272,2.431,2.5916,2.6006,2.6088,2.6104,2.6232,2.6338,2.6532,2.6576,2.6738,2.6732,,0.417247,0.046675,2.53603,0.174641,0.199254,0.332387,0.553098,0.417038,0.0470698,2.53659,0.174461,0.229422,,0.1378,0.141344
4750,,-0.44304,0.484775,,7500,7500,,0.397667,0.0397122,2.44502,0.0898899,0.145067,0.378975,,0.435127,0.0507489,2.66784,0.191086,0.128533,0.350446,,7500,0,7500,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.392333,0.392367,0.391433,0.396733,0.394733,0.399867,0.4015,0.4022,0.402133,0.403367,0.427833,0.4267,0.431933,0.430433,0.431367,0.432867,0.4416,0.4409,0.4442,0.443433,,2.4274,2.4342,2.4314,2.4366,2.444,2.449,2.4568,2.4518,2.4618,2.4572,2.6068,2.617,2.6534,2.6718,2.6764,2.6766,2.682,2.7002,2.6974,2.6968,,0.416397,0.0492653,2.55643,0.186304,0.249373,0.380187,0.598001,0.41643,0.0488456,2.55498,0.185068,0.273119,,0.136733,0.133237
5000,,-0.307322,0.316834,,7499,7498,,0.401717,0.0417237,2.42636,0.0811415,0.156288,0.389869,,0.41415,0.0533502,2.57937,0.165418,0.139237,0.367678,,7498,0,7499,0,3,,0,0,0,0,0.000133333,0,0,0,0,0,1,1,0.999867,1,1,0.999867,1,1,1,1,,0,0,0,0,0.00133333,0,0,0,0,0,0,0,0.00133333,0,0,0.00133333,0,0,0,0,,0.403033,0.394067,0.390033,0.394033,0.401,0.407767,0.4065,0.407933,0.4077,0.405133,0.4275,0.427633,0.422167,0.4179,0.412333,0.410867,0.406,0.4062,0.4056,0.405433,,2.4282,2.428,2.4228,2.4208,2.4142,2.43,2.4178,2.422,2.4362,2.4434,2.5754,2.5576,2.5744,2.5764,2.5748,2.581,2.5808,2.5892,2.5962,2.5876,,0.407942,0.0482922,2.50284,0.151083,0.0796697,0.128813,0.506347,0.407088,0.0481435,2.50315,0.149468,0.0966299,,0.147867,0.143735
5250,,-0.219939,0.231197,,7172,7168,,0.40708,0.0444825,2.50073,0.131929,0.147658,0.381464,,0.427916,0.0531172,2.60878,0.171794,0.141881,0.37528,,7093,107,7098,105,597,,0,0,0,0,0,0,0.000933333,0.0044,0.0236,0.1916,0.8296,0.966667,0.9976,1,0.999867,0.999733,1,1,1,1,,0,0,0,0,0,0,0.00266667,0.02,0.0693333,0.330667,0.325333,0.114667,0.0133333,0,0.00133333,0.00266667,0,0,0,0,,0.408867,0.410567,0.4074,0.401533,0.403367,0.404867,0.405,0.409467,0.410567,0.415567,0.423767,0.427867,0.425167,0.431367,0.430267,0.424067,0.4309,0.4329,0.427033,0.422,,2.4854,2.484,2.4902,2.4946,2.5054,2.4952,2.491,2.5098,2.5256,2.5482,2.5852,2.5878,2.61,2.6042,2.6152,2.6076,2.5912,2.6206,2.6138,2.6388,,0.417627,0.049998,2.55519,0.16207,0.0978652,0.204517,0.325666,0.417352,0.0503203,2.55571,0.163095,0.106942,,0.143867,0.142102
5500,,-0.277395,0.291686,,7177,7137,,0.420764,0.0464985,2.53338,0.143265,0.144071,0.379206,,0.442441,0.0578377,2.66524,0.192913,0.130727,0.357829,,7108,72,7058,104,658,,0,0,0,0,0,0,0,0.0016,0.0145333,0.1988,0.7976,0.969067,0.996267,0.999467,1,1,1,1,1,1,,0,0,0,0,0,0,0,0.0106667,0.0533333,0.374667,0.376,0.0853333,0.0133333,0.00133333,0,0,0,0,0,0,,0.4179,0.4191,0.414533,0.414733,0.4195,0.4239,0.421933,0.422633,0.4259,0.432933,0.436833,0.4336,0.438833,0.4408,0.449067,0.450967,0.452733,0.4439,0.437233,0.435467,,2.5052,2.5262,2.5198,2.521,2.5308,2.5396,2.529,2.558,2.55,2.595,2.6486,2.6518,2.6696,2.6634,2.6778,2.6938,2.6514,2.6644,2.6624,2.6442,,0.431625,0.0535489,2.6001,0.181852,0.0903771,0.197892,0.355795,0.4316,0.0532856,2.6012,0.179191,0.12215,,0.136,0.134971
5750,,-0.291485,0.304285,,7216,7153,,0.423043,0.0496041,2.5653,0.154797,0.137334,0.361672,,0.441619,0.0585247,2.7031,0.204514,0.129037,0.361911,,7162,81,7080,134,543,,0,0.000133333,0,0,0,0,0.0004,0.00146667,0.0229333,0.188,0.803067,0.972933,0.997733,1,1,1,1,1,1,0.999867,,0,0.00133333,0,0,0,0,0.004,0.00933333,0.0666667,0.308,0.344,0.0946667,0.012,0,0,0,0,0,0,0.00133333,,0.418967,0.4146,0.416633,0.421067,0.4303,0.423033,0.424467,0.4282,0.4274,0.428967,0.433333,0.433333,0.4331,0.433433,0.436033,0.435133,0.450533,0.448733,0.4513,0.456833,,2.6036,2.5938,2.5798,2.569,2.5568,2.538,2.551,2.5532,2.5572,2.5538,2.6196,2.656,2.675,2.6898,2.6866,2.6946,2.7198,2.7334,2.742,2.765,,0.43227,0.0550929,2.6319,0.192998,0.0871203,0.164041,0.350037,0.432493,0.054245,2.63322,0.191331,0.116624,,0.132667,0.13
6000,,-0.204366,0.211564,,7194,7133,,0.416437,0.050858,2.57544,0.158605,0.141785,0.368026,,0.431105,0.0572855,2.67359,0.200881,0.139633,0.375495,,7133,125,7037,104,601,,0,0,0,0,0,0,0.000133333,0.00106667,0.0249333,0.190267,0.781333,0.9724,0.997333,1,1,1,1,1,1,1,,0,0,0,0,0,0,0.00133333,0.00533333,0.0746667,0.334667,0.369333,0.0946667,0.0173333,0,0,0,0,0,0,0,,0.408533,0.409267,0.4108,0.417567,0.413233,0.418733,0.4172,0.419967,0.427767,0.4265,0.427333,0.4244,0.429467,0.424267,0.419667,0.431767,0.437667,0.4408,0.439767,0.433233,,2.5888,2.5816,2.5784,2.5716,2.5608,2.5794,2.5738,2.5642,2.5774,2.592,2.6268,2.6512,2.6398,2.6414,2.6728,2.6714,2.6662,2.7102,2.7058,2.7144,,0.423897,0.0545988,2.6234,0.186918,0.0840951,0.129144,0.256555,0.424278,0.0541343,2.62414,0.185974,0.0804817,,0.141067,0.1381
6250,,-0.2241,0.240437,,7194,7193,,0.420173,0.0514919,2.58044,0.165444,0.136364,0.361903,,0.450803,0.0568363,2.68711,0.20132,0.133324,0.361874,,7126,91,7129,76,578,,0,0,0.000133333,0,0,0,0,0.00346667,0.0261333,0.173467,0.818533,0.972533,0.9968,0.9996,1,0.999867,1,1,1,1,,0,0,0.00133333,0,0,0,0,0.0213333,0.0653333,0.329333,0.298667,0.0746667,0.0213333,0.004,0,0.00133333,0,0,0,0,,0.407433,0.414133,0.4073,0.407467,0.416967,0.428267,0.428733,0.4308,0.433633,0.434467,0.450233,0.4576,0.4488,0.445167,0.4444,0.444967,0.4506,0.4566,0.457333,0.4484,,2.5326,2.537,2.5564,2.5548,2.5756,2.6036,2.6202,2.6108,2.6004,2.6398,2.641,2.6352,2.651,2.6552,2.6684,2.7102,2.7156,2.7352,2.7146,2.7218,,0.435665,0.0562862,2.63397,0.191328,0.10734,0.267695,0.270903,0.435825,0.0566431,2.63248,0.18816,0.130973,,0.1342,0.130057
